,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
258,현대 포터2 CRDi 더블캡  초장축 SUP 일반형,차량번호 86로4367,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205052&gubun=K,2012.03,"217,739 km",디젤,"2,497 cc ()",청색,정보없음,390만원,준비중,,,,,,,,,,,등록,,,,,,,,,
259,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 83다4836,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203833&gubun=K,2015.10?(16년형),"108,169 km",디젤,"2,497 cc ()",청색,정보없음,750만원,준비중,,,,,,,,,,,등록,,,,,,,,,
260,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 82노9043,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203832&gubun=K,2016.02,"46,023 km",디젤,"2,497 cc ()",청색,정보없음,699만원,준비중,,,,,,,,,,,등록,,,,,,,,,
261,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 83어7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203830&gubun=K,2016.10?(17년형),"158,355 km",디젤,"2,497 cc ()",청색,만료,640만원,준비중,,,,,,,,,,,등록,,,,,,,,,
262,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 87무7273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203827&gubun=K,2013.07?(14년형),"171,165 km",디젤,"2,497 cc ()",청색,만료,550만원,준비중,,,,,,,,,,,등록,,,,,,,,,
263,현대 포터2 CRDi 슈퍼캡 초장축 모던,차량번호 88거9197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203828&gubun=K,2015.12?(16년형),"140,266 km",디젤,"2,497 cc ()",청색,정보없음,620만원,준비중,,,,,,,,,,,등록,,,,,,,,,
264,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 최고급형,차량번호 97저6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201283&gubun=K,2018.05,"53,635 km",디젤,"2,497 cc ()",청색,정보없음,"1,090만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
265,현대 포터2 윙바디,차량번호 808소6434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173781&gubun=K,2015.03,"365,000 km",디젤,"2,497 cc (123마력)",흰색,만료,690만원,준비중,,,,,,,,,,,등록,,,,,,,,,
266,현대 포터2 CRDi 슈퍼캡  초장축 디럭스 고급형,차량번호 840수8846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205260&gubun=K,2020.07,"36,166 km",디젤,"2,497 cc ()",흰색,정보없음,"1,900만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
267,현대 포터2  CRDi 슈퍼캡 초장축 스마트???,차량번호 83부0821,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177871&gubun=K,2017.07?(18년형),"148,903 km",디젤,"2,497 cc ()",흰색,불가,893만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
268,현대 포터2 CRDi 슈퍼캡  초장축 스마트,차량번호 85주6163,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201949&gubun=K,2018.10,"79,875 km",디젤,"2,497 cc ()",청색,정보없음,"1,199만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
269,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형??,차량번호 94부6798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202448&gubun=K,2013.06?(14년형),"229,689 km",디젤,"2,497 cc ()",청색,불가,492만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
270,현대 포터2  캠핑카 -???,차량번호 98러9888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191203&gubun=K,2017.05,"23,350 km",디젤,"2,497 cc (133마력)",흰색,불가,"3,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
271,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 87보3398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205350&gubun=K,2010.08?(11년형),"80,308 km",디젤,"2,497 cc ()",청색,정보없음,570만원,준비중,,,,,,,,,,,등록,,,,,,,,,
272,현대 포터2 CRDi 슈퍼캡  초장축 골드 기본형,차량번호 97구8100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203653&gubun=K,2016.07?(17년형),"340,000 km",디젤,"2,497 cc ()",청색,정보없음,530만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
273,현대 포터2  CRDi 슈퍼캡 초장축 하이-SUP 기본형??,차량번호 82나0744,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202945&gubun=K,2013.08?(14년형),"108,000 km",디젤,"2,497 cc ()",청색,불가,930만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
274,현대 포터2 파워게이트,차량번호 87오6950,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204994&gubun=K,2017.01,"108,605 km",디젤,"2,497 cc ()",흰색,만료,"1,160만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
275,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 96마2783,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201883&gubun=K,2018.08,"240,073 km",디젤,"2,497 cc ()",파란색,정보없음,760만원,준비중,,,,,,,,,,,등록,,,,,,,,,
276,현대 포터2 슈퍼캡 초장축 스타일,차량번호 83부6833,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200522&gubun=K,2018.06,"249,704 km",디젤,"2,497 cc ()",청색,정보없음,660만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
277,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 817다7495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200750&gubun=K,2023.03?(14년형),"54,601 km",디젤,"2,497 cc ()",파란색,정보없음,"1,040만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
278,현대 포터2 CRDi 더블캡  초장축 SUP 일반형,차량번호 86로4367,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205052&gubun=K,2012.03,"217,739 km",디젤,"2,497 cc ()",청색,정보없음,390만원,준비중,,,,,,,,,,,등록,,,,,,,,,
279,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 83다4836,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203833&gubun=K,2015.10?(16년형),"108,169 km",디젤,"2,497 cc ()",청색,정보없음,750만원,준비중,,,,,,,,,,,등록,,,,,,,,,
280,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 82노9043,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203832&gubun=K,2016.02,"46,023 km",디젤,"2,497 cc ()",청색,정보없음,699만원,준비중,,,,,,,,,,,등록,,,,,,,,,
281,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 83어7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203830&gubun=K,2016.10?(17년형),"158,355 km",디젤,"2,497 cc ()",청색,만료,640만원,준비중,,,,,,,,,,,등록,,,,,,,,,
282,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 87무7273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203827&gubun=K,2013.07?(14년형),"171,165 km",디젤,"2,497 cc ()",청색,만료,550만원,준비중,,,,,,,,,,,등록,,,,,,,,,
283,현대 포터2 CRDi 슈퍼캡 초장축 모던,차량번호 88거9197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203828&gubun=K,2015.12?(16년형),"140,266 km",디젤,"2,497 cc ()",청색,정보없음,620만원,준비중,,,,,,,,,,,등록,,,,,,,,,
284,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 최고급형,차량번호 97저6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201283&gubun=K,2018.05,"53,635 km",디젤,"2,497 cc ()",청색,정보없음,"1,090만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
285,현대 포터2 윙바디,차량번호 808소6434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173781&gubun=K,2015.03,"365,000 km",디젤,"2,497 cc (123마력)",흰색,만료,690만원,준비중,,,,,,,,,,,등록,,,,,,,,,
286,현대 포터2 CRDi 슈퍼캡  초장축 디럭스 고급형,차량번호 840수8846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205260&gubun=K,2020.07,"36,166 km",디젤,"2,497 cc ()",흰색,정보없음,"1,900만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
287,현대 포터2  CRDi 슈퍼캡 초장축 스마트???,차량번호 83부0821,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177871&gubun=K,2017.07?(18년형),"148,903 km",디젤,"2,497 cc ()",흰색,불가,893만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
288,현대 포터2 CRDi 슈퍼캡  초장축 스마트,차량번호 85주6163,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201949&gubun=K,2018.10,"79,875 km",디젤,"2,497 cc ()",청색,정보없음,"1,199만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
289,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형??,차량번호 94부6798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202448&gubun=K,2013.06?(14년형),"229,689 km",디젤,"2,497 cc ()",청색,불가,492만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
290,현대 포터2  캠핑카 -???,차량번호 98러9888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191203&gubun=K,2017.05,"23,350 km",디젤,"2,497 cc (133마력)",흰색,불가,"3,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
291,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 87보3398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205350&gubun=K,2010.08?(11년형),"80,308 km",디젤,"2,497 cc ()",청색,정보없음,570만원,준비중,,,,,,,,,,,등록,,,,,,,,,
292,현대 포터2 CRDi 슈퍼캡  초장축 골드 기본형,차량번호 97구8100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203653&gubun=K,2016.07?(17년형),"340,000 km",디젤,"2,497 cc ()",청색,정보없음,530만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
293,현대 포터2  CRDi 슈퍼캡 초장축 하이-SUP 기본형??,차량번호 82나0744,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202945&gubun=K,2013.08?(14년형),"108,000 km",디젤,"2,497 cc ()",청색,불가,930만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
294,현대 포터2 파워게이트,차량번호 87오6950,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204994&gubun=K,2017.01,"108,605 km",디젤,"2,497 cc ()",흰색,만료,"1,160만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
295,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 96마2783,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201883&gubun=K,2018.08,"240,073 km",디젤,"2,497 cc ()",파란색,정보없음,760만원,준비중,,,,,,,,,,,등록,,,,,,,,,
296,현대 포터2 슈퍼캡 초장축 스타일,차량번호 83부6833,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200522&gubun=K,2018.06,"249,704 km",디젤,"2,497 cc ()",청색,정보없음,660만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
297,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 817다7495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200750&gubun=K,2023.03?(14년형),"54,601 km",디젤,"2,497 cc ()",파란색,정보없음,"1,040만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
298,현대 포터2 CRDi 더블캡  초장축 SUP 일반형,차량번호 86로4367,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205052&gubun=K,2012.03,"217,739 km",디젤,"2,497 cc ()",청색,정보없음,390만원,준비중,,,,,,,,,,,등록,,,,,,,,,
299,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 83다4836,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203833&gubun=K,2015.10?(16년형),"108,169 km",디젤,"2,497 cc ()",청색,정보없음,750만원,준비중,,,,,,,,,,,등록,,,,,,,,,
300,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 82노9043,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203832&gubun=K,2016.02,"46,023 km",디젤,"2,497 cc ()",청색,정보없음,699만원,준비중,,,,,,,,,,,등록,,,,,,,,,
301,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 83어7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203830&gubun=K,2016.10?(17년형),"158,355 km",디젤,"2,497 cc ()",청색,만료,640만원,준비중,,,,,,,,,,,등록,,,,,,,,,
302,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 87무7273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203827&gubun=K,2013.07?(14년형),"171,165 km",디젤,"2,497 cc ()",청색,만료,550만원,준비중,,,,,,,,,,,등록,,,,,,,,,
303,현대 포터2 CRDi 슈퍼캡 초장축 모던,차량번호 88거9197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203828&gubun=K,2015.12?(16년형),"140,266 km",디젤,"2,497 cc ()",청색,정보없음,620만원,준비중,,,,,,,,,,,등록,,,,,,,,,
304,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 최고급형,차량번호 97저6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201283&gubun=K,2018.05,"53,635 km",디젤,"2,497 cc ()",청색,정보없음,"1,090만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
305,현대 포터2 윙바디,차량번호 808소6434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173781&gubun=K,2015.03,"365,000 km",디젤,"2,497 cc (123마력)",흰색,만료,690만원,준비중,,,,,,,,,,,등록,,,,,,,,,
306,현대 포터2 CRDi 슈퍼캡  초장축 디럭스 고급형,차량번호 840수8846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205260&gubun=K,2020.07,"36,166 km",디젤,"2,497 cc ()",흰색,정보없음,"1,900만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
307,현대 포터2  CRDi 슈퍼캡 초장축 스마트???,차량번호 83부0821,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177871&gubun=K,2017.07?(18년형),"148,903 km",디젤,"2,497 cc ()",흰색,불가,893만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
308,현대 포터2 CRDi 슈퍼캡  초장축 스마트,차량번호 85주6163,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201949&gubun=K,2018.10,"79,875 km",디젤,"2,497 cc ()",청색,정보없음,"1,199만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
309,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형??,차량번호 94부6798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202448&gubun=K,2013.06?(14년형),"229,689 km",디젤,"2,497 cc ()",청색,불가,492만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
310,현대 포터2  캠핑카 -???,차량번호 98러9888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191203&gubun=K,2017.05,"23,350 km",디젤,"2,497 cc (133마력)",흰색,불가,"3,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
311,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 87보3398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205350&gubun=K,2010.08?(11년형),"80,308 km",디젤,"2,497 cc ()",청색,정보없음,570만원,준비중,,,,,,,,,,,등록,,,,,,,,,
312,현대 포터2 CRDi 슈퍼캡  초장축 골드 기본형,차량번호 97구8100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203653&gubun=K,2016.07?(17년형),"340,000 km",디젤,"2,497 cc ()",청색,정보없음,530만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
313,현대 포터2  CRDi 슈퍼캡 초장축 하이-SUP 기본형??,차량번호 82나0744,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202945&gubun=K,2013.08?(14년형),"108,000 km",디젤,"2,497 cc ()",청색,불가,930만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
314,현대 포터2 파워게이트,차량번호 87오6950,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204994&gubun=K,2017.01,"108,605 km",디젤,"2,497 cc ()",흰색,만료,"1,160만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
315,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 96마2783,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201883&gubun=K,2018.08,"240,073 km",디젤,"2,497 cc ()",파란색,정보없음,760만원,준비중,,,,,,,,,,,등록,,,,,,,,,
316,현대 포터2 슈퍼캡 초장축 스타일,차량번호 83부6833,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200522&gubun=K,2018.06,"249,704 km",디젤,"2,497 cc ()",청색,정보없음,660만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
317,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 817다7495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200750&gubun=K,2023.03?(14년형),"54,601 km",디젤,"2,497 cc ()",파란색,정보없음,"1,040만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
318,현대 포터2 CRDi 더블캡  초장축 SUP 일반형,차량번호 86로4367,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205052&gubun=K,2012.03,"217,739 km",디젤,"2,497 cc ()",청색,정보없음,390만원,준비중,,,,,,,,,,,등록,,,,,,,,,
319,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 83다4836,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203833&gubun=K,2015.10?(16년형),"108,169 km",디젤,"2,497 cc ()",청색,정보없음,750만원,준비중,,,,,,,,,,,등록,,,,,,,,,
320,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 82노9043,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203832&gubun=K,2016.02,"46,023 km",디젤,"2,497 cc ()",청색,정보없음,699만원,준비중,,,,,,,,,,,등록,,,,,,,,,
321,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 83어7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203830&gubun=K,2016.10?(17년형),"158,355 km",디젤,"2,497 cc ()",청색,만료,640만원,준비중,,,,,,,,,,,등록,,,,,,,,,
322,현대 포터2 CRDi 더블캡 초장축 SUP 기본형,차량번호 87무7273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203827&gubun=K,2013.07?(14년형),"171,165 km",디젤,"2,497 cc ()",청색,만료,550만원,준비중,,,,,,,,,,,등록,,,,,,,,,
323,현대 포터2 CRDi 슈퍼캡 초장축 모던,차량번호 88거9197,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203828&gubun=K,2015.12?(16년형),"140,266 km",디젤,"2,497 cc ()",청색,정보없음,620만원,준비중,,,,,,,,,,,등록,,,,,,,,,
324,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 최고급형,차량번호 97저6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201283&gubun=K,2018.05,"53,635 km",디젤,"2,497 cc ()",청색,정보없음,"1,090만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
325,현대 포터2 윙바디,차량번호 808소6434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173781&gubun=K,2015.03,"365,000 km",디젤,"2,497 cc (123마력)",흰색,만료,690만원,준비중,,,,,,,,,,,등록,,,,,,,,,
326,현대 포터2 CRDi 슈퍼캡  초장축 디럭스 고급형,차량번호 840수8846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205260&gubun=K,2020.07,"36,166 km",디젤,"2,497 cc ()",흰색,정보없음,"1,900만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
327,현대 포터2  CRDi 슈퍼캡 초장축 스마트???,차량번호 83부0821,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177871&gubun=K,2017.07?(18년형),"148,903 km",디젤,"2,497 cc ()",흰색,불가,893만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
